# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750     0.031415927       3016.8634    0.0047388779
2.750     0.047123890       1532.2114    0.0081229229
2.750     0.062831853       1303.8237     0.016384331
2.750     0.078539816       972.72893     0.023874360
2.750     0.094247780       729.08817     0.030921724
2.750      0.10995574       599.70995     0.040389201
2.750      0.12566371       544.46806     0.054735900
2.750      0.14137167       387.48372     0.055463960
2.750      0.15707963       333.62432     0.065506982
2.750      0.17278760       295.07083     0.077114175
2.750      0.18849556       269.43240     0.091416259
2.750      0.20420352       234.44736      0.10113589
2.750      0.21991149       208.16547      0.11215604
2.750      0.23561945       183.01140      0.12127794
2.750      0.25132741       169.76538      0.13653342
2.750      0.26703538       145.69958      0.14055133
2.750      0.28274334       131.42663      0.15049802
2.750      0.29845130       118.24674      0.15925015
2.750      0.31415927       107.18244      0.16836179
2.750      0.32986723       98.141594      0.17846000
2.750      0.34557519       88.513383      0.18505758
2.750      0.36128316       84.098823      0.20091082
2.750      0.37699112       76.281818      0.20705449
2.750      0.39269908       71.214340      0.21848286
2.750      0.40840704       67.682390      0.23357460
2.750      0.42411501       62.682464      0.24225193
2.750      0.43982297       59.056209      0.25454792
2.750      0.45553093       55.090566      0.26381599
2.750      0.47123890       52.122524      0.27632431
2.750      0.48694686       47.952639      0.28049652
2.750      0.50265482       46.080215      0.29647926
2.750      0.51836279       43.344024      0.30584469
2.750      0.53407075       41.310987      0.31881020
2.750      0.54977871       39.464556      0.33223184
2.750      0.56548668       37.869384      0.34691704
2.750      0.58119464       35.625268      0.35431799
2.750      0.59690260       33.755240      0.36368206
2.750      0.61261057       32.286581      0.37605015
2.750      0.62831853       30.817320      0.38726186
2.750      0.64402649       29.415854      0.39807318
2.750      0.65973446       27.807888      0.40452537
2.750      0.67544242       27.274535      0.42578721
2.750      0.69115038       26.124230      0.43694967
2.750      0.70685835       25.489370      0.45606477
2.750      0.72256631       23.832554      0.45548488
2.750      0.73827427       23.418294      0.47739593
2.750      0.75398224       22.488542      0.48833168
2.750      0.76969020       21.932683      0.50665214
2.750      0.78539816       20.994523      0.51528312
2.750      0.80110613       20.252925      0.52750694
2.750      0.81681409       19.636300      0.54212518
2.750      0.83252205       18.910809      0.55279945
2.750      0.84823002       18.318179      0.56636118
2.750      0.86393798       17.788635      0.58111299
2.750      0.87964594       17.169779      0.59205038
2.750      0.89535391       16.669161      0.60613336
2.750      0.91106187       16.359239      0.62672493
2.750      0.92676983       15.709311      0.63349480
2.750      0.94247780       15.194694      0.64442979
2.750      0.95818576       14.764952      0.65803868
2.750      0.97389372       14.569049      0.68176727
2.750      0.98960169       14.126169      0.69354706
2.750       1.0053096       13.736189      0.70702711
2.750       1.0367256       13.300882      0.75083091
2.750       1.0681415       12.236445      0.75546073
2.750       1.0995574       11.891219      0.80084857
2.750       1.1309734       11.063787      0.81083258
2.750       1.1623893       10.653386      0.84764248
2.750       1.1938052       10.345207      0.89168172
2.750       1.2252211       9.9461878      0.92676656
2.750       1.2566371       9.5744804      0.96253175
2.750       1.2880530       9.1000062      0.98517444
2.750       1.3194689       8.7369172       1.0167776
2.750       1.3508848       8.5569559       1.0686723
2.750       1.3823008       8.2134631       1.0990165
2.750       1.4137167       8.0605546       1.1537782
2.750       1.4451326       7.5920038       1.1607797
2.750       1.4765485       7.3364799       1.1964683
2.750       1.5079645       7.2132393       1.2530660
2.750       1.5393804       6.9340789       1.2814359
2.750       1.5707963       6.7741247       1.3300963
2.750       1.6022123       6.5109878       1.3566796
2.750       1.6336282       6.2720553       1.3852871
2.750       1.6650441       6.1092086       1.4286717
2.750       1.6964600       6.0092602       1.4863537
2.750       1.7278760       5.8954337       1.5407199
2.750       1.7592919       5.6207106       1.5505122
2.750       1.7907078       5.5961840       1.6279326
2.750       1.8221237       5.4140363       1.6593004
2.750       1.8535397       5.2893919       1.7064032
2.750       1.8849556       5.1466553       1.7462190
2.750       1.9163715       5.0273070       1.7924407
2.750       1.9477874       4.8988148       1.8339436
2.750       1.9792034       4.7603673       1.8697433
2.750       2.0106193       4.6885839       1.9306408
2.750       2.0734512       4.4182208       1.9952582
2.750       2.1362830       4.3207516       2.1340565
2.750       2.1991149       4.1337622       2.2272014
2.750       2.2619467       3.9414330       2.3108487
2.750       2.3247786       3.8610841       2.4576741
2.750       2.3876104       3.6200621       2.4961844
2.750       2.4504423       3.4799660       2.5940521
2.750       2.5132741       3.4096949       2.7422393
2.750       2.5761060       3.3049186       2.8623464
2.750       2.6389378       3.1611897       2.9431222
2.750       2.7017697       3.0729223       3.0702010
2.750       2.7646015       3.0078786       3.2197948
2.750       2.8274334       2.9082700       3.3302905
