# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
3.000       434.29377   9.6933046e-06       40.224709
3.000       442.33625  -3.0217927e-05      -132.49287
3.000       450.37872  -3.8780553e-05      -179.48074
3.000       458.42120  -1.2454465e-05      -60.784021
3.000       466.46368  -4.9145808e-05      -252.70291
3.000       474.50615   7.7017871e-05       416.85721
3.000       482.54863  -8.7400847e-05      -497.51842
3.000       490.59111   5.6874204e-05       340.20807
3.000       498.63359  -2.3048815e-05      -144.76496
3.000       506.67606   3.9492880e-05       260.24370
3.000       514.71854  -1.8602409e-05      -128.51354
2.750     0.062831853       356.40934    0.0044787719
2.750      0.12566371       573.20854     0.057625207
2.750      0.18849556       218.50898     0.074138351
2.750      0.25132741       152.47275      0.12262586
2.750      0.31415927       98.174956      0.15421286
2.750      0.37699112       72.263517      0.19614747
2.750      0.43982297       53.230264      0.22943655
2.750      0.50265482       41.814713      0.26903510
2.750      0.56548668       32.364671      0.29648901
2.750      0.62831853       28.462015      0.35766422
2.750      0.69115038       24.613991      0.41168965
2.750      0.75398224       19.807380      0.43011109
2.750      0.81681409       18.021040      0.49753057
2.750      0.87964594       15.991478      0.55142007
2.750      0.94247780       14.110428      0.59844442
2.750       1.0053096       12.785372      0.65808680
2.750       1.0681415       11.327732      0.69935811
2.750       1.1309734       10.374951      0.76034979
2.750       1.1938052       9.7046652      0.83647165
2.750       1.2566371       8.8103042      0.88570838
2.750       1.3194689       8.2097593      0.95542846
2.750       1.3823008       7.6327195       1.0213091
2.750       1.4451326       6.9822906       1.0675575
2.750       1.5079645       6.5814334       1.1433102
2.750       1.5707963       6.1898394       1.2153721
2.750       1.6336282       5.7778605       1.2761360
2.750       1.6964600       5.5145979       1.3640020
2.750       1.7592919       5.3188296       1.4672362
2.750       1.8221237       4.8634171       1.4905460
2.750       1.8849556       4.7255383       1.6033374
2.750       1.9477874       4.4525555       1.6668798
2.750       2.0106193       4.3002084       1.7707176
2.750       2.0734512       4.0690481       1.8375726
2.750       2.1362830       3.9345993       1.9433325
2.750       2.1991149       3.6875090       1.9867677
2.750       2.2619467       3.5239896       2.0661031
2.750       2.3247786       3.5370053       2.2513901
2.750       2.3876104       3.3356646       2.3000805
2.750       2.4504423       3.3042608       2.4630771
2.750       2.5132741       3.1134568       2.5039906
2.750       2.5761060       3.0365470       2.6299134
2.750       2.6389378       2.8934167       2.6938209
2.750       2.7017697       2.8495605       2.8470370
2.750       2.7646015       2.8067126       3.0044559
2.750       2.8274334       2.6931387       3.0839415
2.750       2.8902652       2.6101799       3.1926683
2.750       2.9530971       2.4974529       3.2583726
2.750       3.0159289       2.4361148       3.3855663
2.750       3.0787608       2.3691283       3.5025688
2.750       3.1415927       2.3239509       3.6504535
2.750       3.2044245       2.2401691       3.7342311
2.750       3.2672564       2.2278370       3.9364371
2.750       3.3300882       2.1273917       3.9800170
2.750       3.3929201       2.0738723       4.1036769
2.750       3.4557519       2.0075113       4.1971638
2.750       3.5185838       1.9767310       4.3623602
2.750       3.5814156       1.9101229       4.4452454
2.750       3.6442475       1.8907594       4.6358580
2.750       3.7070793       1.8601417       4.8007813
2.750       3.7699112       1.7757894       4.8200891
2.750       3.8327430       1.7675531       5.0416401
2.750       3.8955749       1.7125290       5.1288838
2.750       3.9584067       1.6779843       5.2725342
2.750       4.0212386       1.6735087       5.5128700
2.750       4.1469023       1.5805405       5.7101473
2.750       4.2725660       1.5160653       5.9903821
2.750       4.3982297       1.4551969       6.2722845
2.750       4.5238934       1.4209855       6.6649518
2.750       4.6495571       1.3604738       6.9277978
2.750       4.7752208       1.3155780       7.2571692
2.750       4.9008845       1.2602811       7.5155554
2.750       5.0265482       1.2225910       7.8661280
2.750       5.1522120       1.1584858       8.0267946
2.750       5.2778757       1.1250061       8.3792005
