# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.500       3.5814156       2.0608916       4.7961148
2.500       3.6442475       2.0338059       4.9865863
2.500       3.7070793       1.9964735       5.1526359
2.500       3.7699112       1.9139324       5.1950557
2.500       3.8327430       1.8840397       5.3738980
2.500       3.8955749       1.8357533       5.4979306
2.500       3.9584067       1.7884532       5.6196476
2.500       4.0212386       1.7822717       5.8711571
2.500       4.1469023       1.6809322       6.0728403
2.500       4.2725660       1.6295655       6.4388517
2.500       4.3982297       1.5455926       6.6619140
2.500       4.5238934       1.4938085       7.0065184
2.500       4.6495571       1.4469981       7.3683966
2.500       4.7752208       1.3754129       7.5872385
2.500       4.9008845       1.3273443       7.9154802
2.500       5.0265482       1.2863292       8.2762186
2.500       5.1522120       1.2310323       8.5294469
2.500       5.2778757       1.1781968       8.7753726
2.500       5.4035394       1.1396788       9.1093563
2.500       5.5292031       1.1169743       9.5653547
2.500       5.6548668       1.0725375       9.8253917
2.500       5.7805305       1.0542074       10.315717
2.500       5.9061942      0.99507259       10.385997
2.500       6.0318579      0.96760567       10.757763
2.500       6.1575216      0.93072435       11.008019
